REF_AREA,TIME_PERIOD,OBS_VALUE
AE,2002-01-31,
AE,2002-02-28,
AE,2002-03-31,
AE,2002-04-30,
AE,2002-05-31,
AE,2002-06-30,
AE,2002-07-31,
AE,2002-08-31,
AE,2002-09-30,
AE,2002-10-31,
AE,2002-11-30,
AE,2002-12-31,
AE,2003-01-31,
AE,2003-02-28,
AE,2003-03-31,
AE,2003-04-30,
AE,2003-05-31,
AE,2003-06-30,
AE,2003-07-31,
AE,2003-08-31,
AE,2003-09-30,
AE,2003-10-31,
AE,2003-11-30,
AE,2003-12-31,
AE,2004-01-31,
AE,2004-02-29,
AE,2004-03-31,
AE,2004-04-30,
AE,2004-05-31,
AE,2004-06-30,
AE,2004-07-31,
AE,2004-08-31,
AE,2004-09-30,
AE,2004-10-31,
AE,2004-11-30,
AE,2004-12-31,
AE,2005-01-31,
AE,2005-02-28,
AE,2005-03-31,
AE,2005-04-30,
AE,2005-05-31,
AE,2005-06-30,
AE,2005-07-31,
AE,2005-08-31,
AE,2005-09-30,
AE,2005-10-31,
AE,2005-11-30,
AE,2005-12-31,
AE,2006-01-31,
AE,2006-02-28,
AE,2006-03-31,
AE,2006-04-30,
AE,2006-05-31,
AE,2006-06-30,
AE,2006-07-31,
AE,2006-08-31,
AE,2006-09-30,
AE,2006-10-31,
AE,2006-11-30,
AE,2006-12-31,
AE,2007-01-31,
AE,2007-02-28,
AE,2007-03-31,
AE,2007-04-30,
AE,2007-05-31,
AE,2007-06-30,
AE,2007-07-31,
AE,2007-08-31,
AE,2007-09-30,
AE,2007-10-31,
AE,2007-11-30,
AE,2007-12-31,
AE,2008-01-31,
AE,2008-02-29,
AE,2008-03-31,
AE,2008-04-30,
AE,2008-05-31,
AE,2008-06-30,
AE,2008-07-31,
AE,2008-08-31,
AE,2008-09-30,
AE,2008-10-31,
AE,2008-11-30,
AE,2008-12-31,
AE,2009-01-31,0.0
AE,2009-02-28,0.0
AE,2009-03-31,0.0
AE,2009-04-30,0.0
AE,2009-05-31,0.0
AE,2009-06-30,0.0
AE,2009-07-31,0.0
AE,2009-08-31,0.0
AE,2009-09-30,0.0
AE,2009-10-31,0.0
AE,2009-11-30,30.0
AE,2009-12-31,31.0
AE,2010-01-31,0.0
AE,2010-02-28,0.0
AE,2010-03-31,155.0
AE,2010-04-30,450.0
AE,2010-05-31,558.0
AE,2010-06-30,480.0
AE,2010-07-31,496.0
AE,2010-08-31,403.0
AE,2010-09-30,420.0
AE,2010-10-31,341.0
AE,2010-11-30,390.0
AE,2010-12-31,93.0
AE,2011-01-31,31.0
AE,2011-02-28,56.0
AE,2011-03-31,0.0
AE,2011-04-30,240.0
AE,2011-05-31,589.0
AE,2011-06-30,420.0
AE,2011-07-31,93.0
AE,2011-08-31,0.0
AE,2011-09-30,30.0
AE,2011-10-31,31.0
AE,2011-11-30,0.0
AE,2011-12-31,651.0
AE,2012-01-31,0.0
AE,2012-02-29,0.0
AE,2012-03-31,0.0
AE,2012-04-30,2370.0
AE,2012-05-31,1209.0
AE,2012-06-30,1500.0
AE,2012-07-31,341.0
AE,2012-08-31,589.0
AE,2012-09-30,0.0
AE,2012-10-31,1488.0
AE,2012-11-30,210.0
AE,2012-12-31,155.0
AE,2013-01-31,1116.0
AE,2013-02-28,588.0
AE,2013-03-31,93.0
AE,2013-04-30,510.0
AE,2013-05-31,1085.0
AE,2013-06-30,1230.0
AE,2013-07-31,186.0
AE,2013-08-31,527.0
AE,2013-09-30,810.0
AE,2013-10-31,372.0
AE,2013-11-30,360.0
AE,2013-12-31,589.0
